CURSO_ACADEMICO;ESTUDIO;LOCALIDAD;CENTRO;PRELA_CONVO_NOTA_DEF;NOTA_CORTE_DEFINITIVA_JULIO;NOTA_CORTE_DEFINITIVA_SEPTIEMBRE;FECHA_ACTUALIZACION
2021;Grado: Ingeniería de Organización Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería de Organización Industrial;Zaragoza;Centro Universitario de la Defensa de Zaragoza;;5.000;;16/04/2022
2021;Grado: Ingeniería de Tecnologías Industriales;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería de Tecnologías y Servicios de Telecomunicación;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Electrica;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Electrónica y Automática;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Electrónica y Automática;Teruel;Escuela Universitaria Politécnica de Teruel;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;;10.993;;16/04/2022
2021;Grado: Ingeniería Informática;Teruel;Escuela Universitaria Politécnica de Teruel;;6.270;;16/04/2022
2021;Grado: Ingeniería Mecánica;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Mecatrónica;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Química;Zaragoza;Escuela de Ingeniería y Arquitectura;;5.000;5.000;16/04/2022
2021;Grado: Lenguas Modernas;Zaragoza;Facultad de Filosofía y Letras;;5.000;5.000;16/04/2022
2021;Grado: Programa conjunto en Derecho-Administración y Dirección de Empresas;Zaragoza;Facultad de Derecho;;12.499;;16/04/2022
2021;Grado: Estudios en Arquitectura;Zaragoza;Escuela de Ingeniería y Arquitectura;;9.159;;16/04/2022
2021;Grado: Programa conjunto Física-Matemáticas (FisMat);Zaragoza;Facultad de Ciencias;;13.675;;16/04/2022
2021;Grado: Programa conjunto en Nutrición Humana y Dietética-Ciencias de la Actividad Física y del Deporte;Huesca;Facultad de Ciencias de la Salud y del Deporte;;11.703;;16/04/2022
2021;Grado: Programa conjunto en Matemáticas-Ingeniería Informática;Zaragoza;Escuela de Ingeniería y Arquitectura;;13.291;;16/04/2022
2021;Grado: Programa conjunto en Ingeniería Mecatrónica-Ingeniería de Organización  Industrial;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;9.575;;16/04/2022
2021;Grado: Psicología;Teruel;Facultad de Ciencias Sociales y Humanas de Teruel;;8.293;;16/04/2022
2021;Grado: Ingeniería de Datos en Procesos Industriales;Almunia de Doña Godina (La);Escuela Universitaria Politécnica de la Almunia de Doña Godina;;5.000;5.000;16/04/2022
2021;Grado: Ingeniería Informática-Administración y Dirección de Empresas;Teruel;Escuela Universitaria Politécnica de Teruel;;5.000;9.948;16/04/2022
